name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds
messenger_safe_4_a0_a4-src_a0-dst_a4.in, safe,  851.849,  546.388,  44.684,  320.249,  511.281,  0.000,  170.630,  833,  {0: 1; 1: 4; 2: 17; 3: 11; 4: 18; 5: 78; 6: 49; 7: 1},  {0: 56; 1: 43; 2: 43; 3: 43; 4: 31; 5: 31; 6: 31},  0,  31,  31,  0,  23 

system_3.in, safe,  17.762,  8.520,  4.242,  9.272,  8.139,  0.013,  0.644,  302,  {0: 1; 1: 2; 2: 4; 3: 15; 4: 17; 5: 17; 6: 6},  {0: 17; 1: 17; 2: 17; 3: 17; 4: 17; 5: 17},  1,  8,  17,  0,  15 

sequence_safe_6_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

sequence_unsafe_1_s_d-src_s-dst_d.in, unsafe,  0.231,  0.071,  0.030,  0.115,  0.033,  0.007,  0.025,  11,  {0: 1; 1: 2},  {0: 3},  0,  3,  0,  0,  0 

network_unsafe_5_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

MIS.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

German.in, safe,  1.042,  0.419,  0.180,  0.368,  0.494,  0.000,  0.008,  27,  {0: 1; 1: 6},  {0: 11},  0,  11,  11,  0,  3 

dijkstra0.in, safe,  1036.734,  438.267,  479.984,  686.957,  329.118,  0.037,  107.494,  395,  {0: 1; 1: 3; 2: 3; 3: 7; 4: 18; 5: 20; 6: 12; 7: 12},  {0: 12; 1: 49; 2: 49; 3: 30; 4: 30; 5: 30; 6: 30},  1,  5,  14,  0,  14 

Fischer_0.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

Fischer.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

ring_safe_6_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

xerox.in, safe,  72.448,  26.178,  34.237,  54.508,  16.675,  0.028,  9.482,  106,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 6; 5: 8; 6: 6},  {0: 33; 1: 20; 2: 33; 3: 20; 4: 20; 5: 20},  1,  7,  10,  0,  8 

network_unsafe_1_d_e-src_d-dst_e.in, unsafe,  26.199,  11.896,  7.175,  17.734,  8.104,  0.092,  6.078,  36,  {0: 1; 1: 2; 2: 2; 3: 4},  {0: 32; 1: 19; 2: 9},  0,  9,  0,  0,  0 

mesi.in, safe,  30.844,  14.419,  12.912,  18.881,  11.092,  0.016,  2.560,  59,  {0: 1; 1: 1; 2: 2; 3: 4; 4: 3; 5: 1},  {0: 25; 1: 42; 2: 25; 3: 25; 4: 25},  1,  3,  11,  0,  8 

mux_sem.in, safe,  133.968,  47.731,  64.603,  100.452,  32.095,  0.019,  18.868,  182,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 3; 5: 4; 6: 8; 7: 5; 8: 5; 9: 11},  {0: 14; 1: 25; 2: 39; 3: 39; 4: 39; 5: 25; 6: 25; 7: 14; 8: 14},  1,  3,  6,  0,  7 

bakery_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

german_07_harder_2.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

illinois_ca.in, safe,  4.363,  1.817,  0.637,  1.786,  1.929,  0.012,  0.071,  201,  {0: 1; 1: 4; 2: 3; 3: 12; 4: 11; 5: 8; 6: 8},  {0: 10; 1: 10; 2: 10; 3: 10; 4: 10; 5: 10},  1,  6,  10,  0,  10 

