name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds, # failed ref, # frames
sequence_unsafe_5_s_d-src_s-dst_d.in, unsafe,  11.718,  1.837,  1.440,  9.043,  1.322,  1.082,  5.136,  705,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 4; 5: 5},  {0: 37; 1: 28; 2: 20; 3: 13; 4: 7},  0,  5 ,  0,  {'index': 6},  0, 0, 6 

bakery_t.in, safe,  207.252,  92.128,  86.588,  152.504,  43.155,  0.029,  23.469,  311,  {0: 1; 1: 1; 2: 2; 3: 8; 4: 29; 5: 9},  {0: 26; 1: 26; 2: 26; 3: 26; 4: 26},  1,  5 ,  13,  {'index': 2},  10, 0, 6 

alternating.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  12 , 0, 0, 0, 0, 6 

system_4.in, safe,  5.734,  2.508,  1.272,  2.396,  3.119,  0.000,  0.051,  309,  {0: 1; 1: 1; 2: 5; 3: 1; 4: 9; 5: 10},  {0: 9; 1: 9; 2: 9; 3: 9; 4: 9},  0,  9 ,  9,  0,  0, 0, 7 

moesi.in, safe,  3.190,  0.990,  1.339,  2.116,  0.760,  0.022,  0.318,  72,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 3},  {0: 9; 1: 21; 2: 21; 3: 21},  1,  3 ,  9,  {'index': 2},  5, 0, 5 

messenger_unsafe_5_a0_a5-src_a0-dst_a5.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  23 , 0, 0, 0, 0, 9 

sequence_unsafe_4_s_d-src_s-dst_d.in, unsafe,  3.766,  0.625,  0.483,  2.741,  0.596,  0.243,  1.285,  387,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 4},  {0: 24; 1: 17; 2: 11; 3: 6},  0,  4 ,  0,  {'index': 5},  0, 0, 5 

szymanski.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,  5 , 0, 0, 0, 0, 16 

